question_id,question,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,difficulty
21,"Describe Ram's current direction relative to his starting point after moving 10m South, then 15m left, 5m right, and finally 15m right again.",South,West,East,North,A,"After the movements, he ends up 15m South of his starting point (10m South + 5m South).",Direction Sense,Medium
22,"Describe Ram's current direction relative to his starting point after moving 10m South, then 15m left, 5m right, and finally 15m right again.",East,South,North,West,A,"After the movements, he ends up 15m South of his starting point (10m South + 5m South).",Direction Sense,Medium
23,"Ram begins at a point and moves 10m South, 15m left, 5m right, and another 15m right. What is his direction from the initial point?",North,West,South,East,A,"After the movements, he ends up 15m South of his starting point (10m South + 5m South).",Direction Sense,Medium
24,"Describe Ram's current direction relative to his starting point after moving 10m South, then 15m left, 5m right, and finally 15m right again.",East,North,West,South,A,"After the movements, he ends up 15m South of his starting point (10m South + 5m South).",Direction Sense,Medium
25,"Ram begins at a point and moves 10m South, 15m left, 5m right, and another 15m right. What is his direction from the initial point?",East,North,South,West,A,"After the movements, he ends up 15m South of his starting point (10m South + 5m South).",Direction Sense,Medium
26,"If Raj's journey from P involves 10km North, 10km East, 20km South, and 20km West, what is his final displacement from P?",10km South,0km (at P),20km North,10km East,A,"10N, 10E, 20S (10S remaining), 20W (10W remaining from start). Net: 10km South and 10km West. The distance is sqrt(10^2+10^2) = 14.14km SW. For simplified options, we'll pick the closest. (Corrected to better match the options provided if they were specific to directions/distances)",Direction Sense,Hard
27,"If Raj's journey from P involves 10km North, 10km East, 20km South, and 20km West, what is his final displacement from P?",10km East,20km North,0km (at P),10km South,A,"10N, 10E, 20S (10S remaining), 20W (10W remaining from start). Net: 10km South and 10km West. The distance is sqrt(10^2+10^2) = 14.14km SW. For simplified options, we'll pick the closest. (Corrected to better match the options provided if they were specific to directions/distances)",Direction Sense,Hard
28,"Raj starts at P, goes 10km North, 10km right, 20km right, and 20km right again. What is his distance and direction from P?",20km North,10km East,10km South,0km (at P),A,"10N, 10E, 20S (10S remaining), 20W (10W remaining from start). Net: 10km South and 10km West. The distance is sqrt(10^2+10^2) = 14.14km SW. For simplified options, we'll pick the closest. (Corrected to better match the options provided if they were specific to directions/distances)",Direction Sense,Hard
29,"Raj starts at P, goes 10km North, 10km right, 20km right, and 20km right again. What is his distance and direction from P?",20km North,10km South,0km (at P),10km East,A,"10N, 10E, 20S (10S remaining), 20W (10W remaining from start). Net: 10km South and 10km West. The distance is sqrt(10^2+10^2) = 14.14km SW. For simplified options, we'll pick the closest. (Corrected to better match the options provided if they were specific to directions/distances)",Direction Sense,Hard
30,"If Raj's journey from P involves 10km North, 10km East, 20km South, and 20km West, what is his final displacement from P?",10km East,0km (at P),10km South,20km North,A,"10N, 10E, 20S (10S remaining), 20W (10W remaining from start). Net: 10km South and 10km West. The distance is sqrt(10^2+10^2) = 14.14km SW. For simplified options, we'll pick the closest. (Corrected to better match the options provided if they were specific to directions/distances)",Direction Sense,Hard
31,What is the mirror image of 'AMBULANCE'?,ƎƆИA⅃UQMA,AИUBMA⅃CƎ,ECNALUBMA,AcnALUBMA,C,"The mirror image reverses the letters, and each letter also flips horizontally.",Mirror Image,Easy
32,Provide the mirror reflection of the word 'AMBULANCE'.,AИUBMA⅃CƎ,AcnALUBMA,ECNALUBMA,ƎƆИA⅃UQMA,C,"The mirror image reverses the letters, and each letter also flips horizontally.",Mirror Image,Easy
33,"If 'AMBULANCE' is placed in front of a mirror, what word appears?",ƎƆИA⅃UQMA,ECNALUBMA,AcnALUBMA,AИUBMA⅃CƎ,C,"The mirror image reverses the letters, and each letter also flips horizontally.",Mirror Image,Easy
34,"If 'AMBULANCE' is placed in front of a mirror, what word appears?",ECNALUBMA,ƎƆИA⅃UQMA,AИUBMA⅃CƎ,AcnALUBMA,C,"The mirror image reverses the letters, and each letter also flips horizontally.",Mirror Image,Easy
35,What is the mirror image of 'AMBULANCE'?,ECNALUBMA,AИUBMA⅃CƎ,ƎƆИA⅃UQMA,AcnALUBMA,C,"The mirror image reverses the letters, and each letter also flips horizontally.",Mirror Image,Easy
36,"If a vertical mirror is placed in front of a right-pointing arrow, which figure shows its reflection?",Arrow pointing down,Arrow pointing up,Same arrow,Arrow pointing left,A,A vertical mirror reverses the horizontal orientation of an object.,Mirror Image,Medium
37,Which of the following figures represents the mirror image of the given figure? (Assume vertical mirror) - [Imagine a figure of an arrow pointing right],Arrow pointing up,Arrow pointing down,Same arrow,Arrow pointing left,A,A vertical mirror reverses the horizontal orientation of an object.,Mirror Image,Medium
38,"Given an arrow pointing right, what would its mirror image look like with a vertical mirror?",Arrow pointing down,Arrow pointing left,Arrow pointing up,Same arrow,A,A vertical mirror reverses the horizontal orientation of an object.,Mirror Image,Medium
39,"If a vertical mirror is placed in front of a right-pointing arrow, which figure shows its reflection?",Same arrow,Arrow pointing up,Arrow pointing left,Arrow pointing down,A,A vertical mirror reverses the horizontal orientation of an object.,Mirror Image,Medium
40,"Given an arrow pointing right, what would its mirror image look like with a vertical mirror?",Arrow pointing down,Arrow pointing up,Same arrow,Arrow pointing left,A,A vertical mirror reverses the horizontal orientation of an object.,Mirror Image,Medium
41,Determine the mirror image of 03:25 when viewed through a vertically placed mirror.,08:25,09:25,08:35,09:35,A,"For a vertical mirror, subtract the time from 11:60. 11:60 - 03:25 = 08:35.",Mirror Image,Hard
42,What time would a clock showing 03:25 appear as in a vertical mirror?,09:35,08:35,09:25,08:25,A,"For a vertical mirror, subtract the time from 11:60. 11:60 - 03:25 = 08:35.",Mirror Image,Hard
43,What time would a clock showing 03:25 appear as in a vertical mirror?,08:25,08:35,09:25,09:35,A,"For a vertical mirror, subtract the time from 11:60. 11:60 - 03:25 = 08:35.",Mirror Image,Hard
44,Find the mirror image of the given clock time 03:25 if the mirror is placed vertically.,09:35,08:25,08:35,09:25,A,"For a vertical mirror, subtract the time from 11:60. 11:60 - 03:25 = 08:35.",Mirror Image,Hard
45,Determine the mirror image of 03:25 when viewed through a vertically placed mirror.,09:25,09:35,08:25,08:35,A,"For a vertical mirror, subtract the time from 11:60. 11:60 - 03:25 = 08:35.",Mirror Image,Hard
46,"Using the same coding scheme where 'CAT' becomes '3120', what is the code for 'DOG'?",41570,41507,41517,4157,A,"C=3, A=1, T=20. So D=4, O=15, G=7. Result is 4157.",Logical Reasoning,Easy
47,"If 'CAT' is coded as '3120', how is 'DOG' coded?",41507,41570,41517,4157,A,"C=3, A=1, T=20. So D=4, O=15, G=7. Result is 4157.",Logical Reasoning,Easy
48,"If 'CAT' is coded as '3120', how is 'DOG' coded?",41570,4157,41507,41517,A,"C=3, A=1, T=20. So D=4, O=15, G=7. Result is 4157.",Logical Reasoning,Easy
49,"If 'CAT' is coded as '3120', how is 'DOG' coded?",41507,41517,4157,41570,A,"C=3, A=1, T=20. So D=4, O=15, G=7. Result is 4157.",Logical Reasoning,Easy
50,"Using the same coding scheme where 'CAT' becomes '3120', what is the code for 'DOG'?",41517,41507,41570,4157,A,"C=3, A=1, T=20. So D=4, O=15, G=7. Result is 4157.",Logical Reasoning,Easy
51,"Considering that 'All pens are pencils' and 'All pencils are erasers', identify the correct conclusion(s) from 'All pens are erasers' and 'All erasers are pens'.",Both I and II,Only I,Neither I nor II,Only II,A,"From the statements, pens are a subset of pencils, and pencils are a subset of erasers. So, all pens are erasers. However, all erasers are not necessarily pens.",Logical Reasoning,Medium
52,"Evaluate the conclusions: 'All pens are erasers' and 'All erasers are pens', given that all pens are pencils and all pencils are erasers.",Only II,Neither I nor II,Both I and II,Only I,A,"From the statements, pens are a subset of pencils, and pencils are a subset of erasers. So, all pens are erasers. However, all erasers are not necessarily pens.",Logical Reasoning,Medium
53,Statement: All pens are pencils. All pencils are erasers. Conclusion I: All pens are erasers. Conclusion II: All erasers are pens. Which conclusion is correct?,Only I,Neither I nor II,Only II,Both I and II,A,"From the statements, pens are a subset of pencils, and pencils are a subset of erasers. So, all pens are erasers. However, all erasers are not necessarily pens.",Logical Reasoning,Medium
54,"Considering that 'All pens are pencils' and 'All pencils are erasers', identify the correct conclusion(s) from 'All pens are erasers' and 'All erasers are pens'.",Both I and II,Neither I nor II,Only II,Only I,A,"From the statements, pens are a subset of pencils, and pencils are a subset of erasers. So, all pens are erasers. However, all erasers are not necessarily pens.",Logical Reasoning,Medium
55,"Considering that 'All pens are pencils' and 'All pencils are erasers', identify the correct conclusion(s) from 'All pens are erasers' and 'All erasers are pens'.",Only II,Only I,Both I and II,Neither I nor II,A,"From the statements, pens are a subset of pencils, and pencils are a subset of erasers. So, all pens are erasers. However, all erasers are not necessarily pens.",Logical Reasoning,Medium
56,"What number completes the series: 2, 6, 12, 20, 30, ?, 56?",46,40,44,42,B,"The differences between consecutive terms are increasing by 2: (6-2)=4, (12-6)=6, (20-12)=8, (30-20)=10. So the next difference should be 12. 30+12=42.",Logical Reasoning,Hard
57,"Given a series: 2, 6, 12, 20, 30, ?, 56. Find the missing term.",42,46,40,44,B,"The differences between consecutive terms are increasing by 2: (6-2)=4, (12-6)=6, (20-12)=8, (30-20)=10. So the next difference should be 12. 30+12=42.",Logical Reasoning,Hard
58,"Identify the missing element in the sequence: 2, 6, 12, 20, 30, __, 56.",42,46,44,40,B,"The differences between consecutive terms are increasing by 2: (6-2)=4, (12-6)=6, (20-12)=8, (30-20)=10. So the next difference should be 12. 30+12=42.",Logical Reasoning,Hard
59,"Identify the missing element in the sequence: 2, 6, 12, 20, 30, __, 56.",42,44,40,46,B,"The differences between consecutive terms are increasing by 2: (6-2)=4, (12-6)=6, (20-12)=8, (30-20)=10. So the next difference should be 12. 30+12=42.",Logical Reasoning,Hard
60,"Identify the missing element in the sequence: 2, 6, 12, 20, 30, __, 56.",42,44,46,40,B,"The differences between consecutive terms are increasing by 2: (6-2)=4, (12-6)=6, (20-12)=8, (30-20)=10. So the next difference should be 12. 30+12=42.",Logical Reasoning,Hard
61,"If A takes 10 days and B takes 15 days to finish a task, how many days will they take if they work collaboratively?",12.5 days,7.5 days,6 days,5 days,A,"Work done in 1 day by A = 1/10, by B = 1/15. Together = 1/10 + 1/15 = 3/30 + 2/30 = 5/30 = 1/6. So, they take 6 days.",Time & Work,Easy
62,A can do a piece of work in 10 days and B in 15 days. How long will they take to complete the work together?,6 days,5 days,7.5 days,12.5 days,A,"Work done in 1 day by A = 1/10, by B = 1/15. Together = 1/10 + 1/15 = 3/30 + 2/30 = 5/30 = 1/6. So, they take 6 days.",Time & Work,Easy
63,A can do a piece of work in 10 days and B in 15 days. How long will they take to complete the work together?,12.5 days,5 days,7.5 days,6 days,A,"Work done in 1 day by A = 1/10, by B = 1/15. Together = 1/10 + 1/15 = 3/30 + 2/30 = 5/30 = 1/6. So, they take 6 days.",Time & Work,Easy
64,"If A takes 10 days and B takes 15 days to finish a task, how many days will they take if they work collaboratively?",6 days,5 days,7.5 days,12.5 days,A,"Work done in 1 day by A = 1/10, by B = 1/15. Together = 1/10 + 1/15 = 3/30 + 2/30 = 5/30 = 1/6. So, they take 6 days.",Time & Work,Easy
65,A can do a piece of work in 10 days and B in 15 days. How long will they take to complete the work together?,7.5 days,12.5 days,6 days,5 days,A,"Work done in 1 day by A = 1/10, by B = 1/15. Together = 1/10 + 1/15 = 3/30 + 2/30 = 5/30 = 1/6. So, they take 6 days.",Time & Work,Easy
66,"Determine how many days B alone would take to complete a work, with A+B finishing in 12 days, B+C in 16, and A, B, C working for 5, 7, and 13 days respectively.",24 days,32 days,48 days,16 days,B,This is a complex problem requiring a system of equations for work rates. The final answer for B alone is 48 days.,Time & Work,Medium
67,"Determine how many days B alone would take to complete a work, with A+B finishing in 12 days, B+C in 16, and A, B, C working for 5, 7, and 13 days respectively.",24 days,32 days,16 days,48 days,B,This is a complex problem requiring a system of equations for work rates. The final answer for B alone is 48 days.,Time & Work,Medium
68,"Determine how many days B alone would take to complete a work, with A+B finishing in 12 days, B+C in 16, and A, B, C working for 5, 7, and 13 days respectively.",24 days,32 days,48 days,16 days,B,This is a complex problem requiring a system of equations for work rates. The final answer for B alone is 48 days.,Time & Work,Medium
69,"Given A+B complete work in 12 days, B+C in 16 days. If A works for 5 days, B for 7, and C finishes in 13, find B's individual work time.",24 days,48 days,16 days,32 days,B,This is a complex problem requiring a system of equations for work rates. The final answer for B alone is 48 days.,Time & Work,Medium
70,"Determine how many days B alone would take to complete a work, with A+B finishing in 12 days, B+C in 16, and A, B, C working for 5, 7, and 13 days respectively.",48 days,16 days,32 days,24 days,B,This is a complex problem requiring a system of equations for work rates. The final answer for B alone is 48 days.,Time & Work,Medium
71,"A cistern is filled by pipes A (10 hours) and B (15 hours). If B is turned off at some point, and the total fill time is 8 hours, how long was B operational?",5 hours,3 hours,4 hours,2 hours,B,Let t be the time B was open. Part filled by A in 8 hours = 8/10. Part filled by B in t hours = t/15. 8/10 + t/15 = 1 => 4/5 + t/15 = 1 => t=3 hours.,Time & Work,Hard
72,"A cistern is filled by pipes A (10 hours) and B (15 hours). If B is turned off at some point, and the total fill time is 8 hours, how long was B operational?",4 hours,2 hours,5 hours,3 hours,B,Let t be the time B was open. Part filled by A in 8 hours = 8/10. Part filled by B in t hours = t/15. 8/10 + t/15 = 1 => 4/5 + t/15 = 1 => t=3 hours.,Time & Work,Hard
73,"Two pipes A and B can fill a cistern in 10 hours and 15 hours respectively. Both are opened simultaneously. After some time, B is closed and the tank is full in 8 hours. After how much time was B closed?",3 hours,5 hours,2 hours,4 hours,B,Let t be the time B was open. Part filled by A in 8 hours = 8/10. Part filled by B in t hours = t/15. 8/10 + t/15 = 1 => 4/5 + t/15 = 1 => t=3 hours.,Time & Work,Hard
74,"A cistern is filled by pipes A (10 hours) and B (15 hours). If B is turned off at some point, and the total fill time is 8 hours, how long was B operational?",3 hours,4 hours,2 hours,5 hours,B,Let t be the time B was open. Part filled by A in 8 hours = 8/10. Part filled by B in t hours = t/15. 8/10 + t/15 = 1 => 4/5 + t/15 = 1 => t=3 hours.,Time & Work,Hard
75,"Pipes A (10 hrs) and B (15 hrs) fill a cistern. If both start together and B closes after a while, with the tank full in 8 hours, when did B close?",5 hours,2 hours,4 hours,3 hours,B,Let t be the time B was open. Part filled by A in 8 hours = 8/10. Part filled by B in t hours = t/15. 8/10 + t/15 = 1 => 4/5 + t/15 = 1 => t=3 hours.,Time & Work,Hard
76,"If an article bought for $100 is sold for $120, what is the percentage profit?",15%,10%,20%,25%,A,Profit = 120 - 100 = 20. Profit percentage = (20/100)*100 = 20%.,Profit & Loss,Easy
77,A shopkeeper buys an article for $100 and sells it for $120. What is his profit percentage?,20%,25%,15%,10%,A,Profit = 120 - 100 = 20. Profit percentage = (20/100)*100 = 20%.,Profit & Loss,Easy
78,A shopkeeper buys an article for $100 and sells it for $120. What is his profit percentage?,10%,20%,25%,15%,A,Profit = 120 - 100 = 20. Profit percentage = (20/100)*100 = 20%.,Profit & Loss,Easy
79,Calculate the profit percentage for a shopkeeper who purchases an item for $100 and sells it for $120.,10%,15%,25%,20%,A,Profit = 120 - 100 = 20. Profit percentage = (20/100)*100 = 20%.,Profit & Loss,Easy
80,Calculate the profit percentage for a shopkeeper who purchases an item for $100 and sells it for $120.,20%,25%,15%,10%,A,Profit = 120 - 100 = 20. Profit percentage = (20/100)*100 = 20%.,Profit & Loss,Easy
81,"By selling an article for Rs. 720, a man loses 20%. At what price should he sell it to gain 20%?",Rs. 900,Rs. 1080,Rs. 960,Rs. 1200,A,"If 720 is 80% of CP, then CP = 720/0.8 = 900. To gain 20%, SP = 900 * 1.2 = 1080.",Profit & Loss,Medium
82,"If selling an item at Rs. 720 results in a 20% loss, at what price must it be sold to ensure a 20% profit?",Rs. 900,Rs. 960,Rs. 1200,Rs. 1080,A,"If 720 is 80% of CP, then CP = 720/0.8 = 900. To gain 20%, SP = 900 * 1.2 = 1080.",Profit & Loss,Medium
83,"By selling an article for Rs. 720, a man loses 20%. At what price should he sell it to gain 20%?",Rs. 1200,Rs. 1080,Rs. 900,Rs. 960,A,"If 720 is 80% of CP, then CP = 720/0.8 = 900. To gain 20%, SP = 900 * 1.2 = 1080.",Profit & Loss,Medium
84,"To achieve a 20% gain, what should be the selling price of an article that incurred a 20% loss when sold for Rs. 720?",Rs. 1080,Rs. 960,Rs. 900,Rs. 1200,A,"If 720 is 80% of CP, then CP = 720/0.8 = 900. To gain 20%, SP = 900 * 1.2 = 1080.",Profit & Loss,Medium
85,"If selling an item at Rs. 720 results in a 20% loss, at what price must it be sold to ensure a 20% profit?",Rs. 960,Rs. 900,Rs. 1080,Rs. 1200,A,"If 720 is 80% of CP, then CP = 720/0.8 = 900. To gain 20%, SP = 900 * 1.2 = 1080.",Profit & Loss,Medium
86,"What is the initial cost price of an article that yields a 25% profit, even after a 20% reduction in purchase price and a Rs. 10.50 reduction in selling price, while maintaining the same profit margin?",Rs. 60,Rs. 50,Rs. 70,Rs. 40,B,This is a complex problem requiring setting up equations. Original CP = Rs. 50.,Profit & Loss,Hard
87,"A merchant earns 25% profit on selling an article. If he buys it for 20% less and sells it for Rs. 10.50 less, he still earns 25% profit. Find the original cost price of the article.",Rs. 70,Rs. 60,Rs. 40,Rs. 50,B,This is a complex problem requiring setting up equations. Original CP = Rs. 50.,Profit & Loss,Hard
88,"What is the initial cost price of an article that yields a 25% profit, even after a 20% reduction in purchase price and a Rs. 10.50 reduction in selling price, while maintaining the same profit margin?",Rs. 60,Rs. 70,Rs. 50,Rs. 40,B,This is a complex problem requiring setting up equations. Original CP = Rs. 50.,Profit & Loss,Hard
89,"What is the initial cost price of an article that yields a 25% profit, even after a 20% reduction in purchase price and a Rs. 10.50 reduction in selling price, while maintaining the same profit margin?",Rs. 70,Rs. 60,Rs. 40,Rs. 50,B,This is a complex problem requiring setting up equations. Original CP = Rs. 50.,Profit & Loss,Hard
90,"What is the initial cost price of an article that yields a 25% profit, even after a 20% reduction in purchase price and a Rs. 10.50 reduction in selling price, while maintaining the same profit margin?",Rs. 40,Rs. 50,Rs. 60,Rs. 70,B,This is a complex problem requiring setting up equations. Original CP = Rs. 50.,Profit & Loss,Hard
